,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3430231,112878,2018-07-12,2018-07-12,20180712.0,C,1285000,2.6,3.3,84,0.081963,120514968,,1,CBOE S&P 100 INDEX,E,1234.699951171875
3432307,112878,2018-07-13,2018-07-13,20180712.0,C,1285000,2.7,3.3,0,0.081542,120514968,,1,CBOE S&P 100 INDEX,E,1235.9100341796875
3434231,112878,2018-07-16,2018-07-16,20180716.0,C,1285000,2.45,3.0,1,0.079933,120514968,,1,CBOE S&P 100 INDEX,E,1236.6099853515625
3436155,112878,2018-07-17,2018-07-17,20180716.0,C,1285000,3.2,3.8,0,0.081749,120514968,,1,CBOE S&P 100 INDEX,E,1240.9000244140625
3438079,112878,2018-07-18,2018-07-18,20180716.0,C,1285000,3.2,4.1,0,0.081345,120514968,,1,CBOE S&P 100 INDEX,E,1242.5999755859375
3440003,112878,2018-07-19,2018-07-19,20180716.0,C,1285000,2.5,3.1,0,0.083001,120514968,,1,CBOE S&P 100 INDEX,E,1235.97998046875
3441927,112878,2018-07-20,2018-07-20,20180716.0,C,1285000,2.3,3.0,0,0.081845,120514968,,1,CBOE S&P 100 INDEX,E,1236.3299560546875
3443705,112878,2018-07-23,2018-07-23,20180716.0,C,1285000,2.35,2.95,0,0.079981,120514968,,1,CBOE S&P 100 INDEX,E,1239.4599609375
3445693,112878,2018-07-24,2018-07-24,20180716.0,C,1285000,3.8,4.8,0,0.080238,120514968,,1,CBOE S&P 100 INDEX,E,1249.93994140625
3447681,112878,2018-07-25,2018-07-25,20180716.0,C,1285000,5.9,7.7,0,0.080987,120514968,,1,CBOE S&P 100 INDEX,E,1260.5
3449795,112878,2018-07-26,2018-07-26,20180716.0,C,1285000,4.4,5.4,0,0.083415,120514968,,1,CBOE S&P 100 INDEX,E,1251.5
3451909,112878,2018-07-27,2018-07-27,20180716.0,C,1285000,2.8,3.5,0,0.081416,120514968,,1,CBOE S&P 100 INDEX,E,1243.8299560546875
3453899,112878,2018-07-30,2018-07-30,20180716.0,C,1285000,2.15,2.8,0,0.085419,120514968,,1,CBOE S&P 100 INDEX,E,1237.6300048828125
3455889,112878,2018-07-31,2018-07-31,20180716.0,C,1285000,2.1,3.1,0,0.082016,120514968,,1,CBOE S&P 100 INDEX,E,1241.760009765625
3457879,112878,2018-08-01,2018-08-01,20180716.0,C,1285000,2.5,3.1,0,0.081546,120514968,,1,CBOE S&P 100 INDEX,E,1244.0899658203125
3459993,112878,2018-08-02,2018-08-02,20180716.0,C,1285000,3.2,3.7,0,0.078734,120514968,,1,CBOE S&P 100 INDEX,E,1250.6600341796875
3462107,112878,2018-08-03,2018-08-03,20180716.0,C,1285000,3.8,4.7,0,0.07568,120514968,,1,CBOE S&P 100 INDEX,E,1257.18994140625
3464103,112878,2018-08-06,2018-08-06,20180716.0,C,1285000,4.8,5.9,0,0.076761,120514968,,1,CBOE S&P 100 INDEX,E,1262.5699462890625
3466099,112878,2018-08-07,2018-08-07,20180716.0,C,1285000,6.0,7.0,0,0.07808,120514968,,1,CBOE S&P 100 INDEX,E,1266.4100341796875
3468095,112878,2018-08-08,2018-08-08,20180716.0,C,1285000,6.1,7.1,0,0.079505,120514968,,1,CBOE S&P 100 INDEX,E,1266.699951171875
3470141,112878,2018-08-09,2018-08-09,20180716.0,C,1285000,5.4,6.5,0,0.079244,120514968,,1,CBOE S&P 100 INDEX,E,1265.06005859375
3472225,112878,2018-08-10,2018-08-10,20180716.0,C,1285000,3.2,4.1,0,0.079998,120514968,,1,CBOE S&P 100 INDEX,E,1255.469970703125
3474189,112878,2018-08-13,2018-08-13,20180716.0,C,1285000,2.65,3.4,0,0.085374,120514968,,1,CBOE S&P 100 INDEX,E,1250.5699462890625
3476153,112878,2018-08-14,2018-08-14,20180716.0,C,1285000,3.5,4.2,0,0.082028,120514968,,1,CBOE S&P 100 INDEX,E,1257.5999755859375
3478117,112878,2018-08-15,2018-08-15,20180716.0,C,1285000,2.35,2.95,0,0.087576,120514968,,1,CBOE S&P 100 INDEX,E,1248.2099609375
3480081,112878,2018-08-16,2018-08-16,20180716.0,C,1285000,3.6,4.5,0,0.083831,120514968,,1,CBOE S&P 100 INDEX,E,1258.75
3482045,112878,2018-08-17,2018-08-17,20180716.0,C,1285000,4.1,5.0,0,0.082331,120514968,,1,CBOE S&P 100 INDEX,E,1262.3199462890625
3483863,112878,2018-08-20,2018-08-20,20180716.0,C,1285000,4.3,5.1,0,0.083282,120514968,,1,CBOE S&P 100 INDEX,E,1264.239990234375
3485911,112878,2018-08-21,2018-08-21,20180716.0,C,1285000,5.0,6.0,0,0.086078,120514968,,1,CBOE S&P 100 INDEX,E,1266.5400390625
3487959,112878,2018-08-22,2018-08-22,20180716.0,C,1285000,4.3,5.4,0,0.080872,120514968,,1,CBOE S&P 100 INDEX,E,1267.0899658203125
3490007,112878,2018-08-23,2018-08-23,20180716.0,C,1285000,3.8,4.7,0,0.081593,120514968,,1,CBOE S&P 100 INDEX,E,1265.0799560546875
