,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3550465,112878,2018-10-02,2018-10-02,20181002.0,C,1270000,54.9,57.5,13,0.136958,124068743,,1,CBOE S&P 100 INDEX,E,1301.56005859375
3552873,112878,2018-10-03,2018-10-03,20181002.0,C,1270000,55.9,58.5,0,0.138454,124068743,,1,CBOE S&P 100 INDEX,E,1302.800048828125
3555397,112878,2018-10-04,2018-10-04,20181002.0,C,1270000,49.1,52.2,0,0.140958,124068743,,1,CBOE S&P 100 INDEX,E,1291.530029296875
3557921,112878,2018-10-05,2018-10-05,20181002.0,C,1270000,43.7,47.7,0,0.141058,124068743,,1,CBOE S&P 100 INDEX,E,1283.3399658203125
3560287,112878,2018-10-08,2018-10-08,20181002.0,C,1270000,45.0,48.6,0,0.146099,124068743,,1,CBOE S&P 100 INDEX,E,1283.8699951171875
3562653,112878,2018-10-09,2018-10-09,20181002.0,C,1270000,44.9,47.9,0,0.145842,124068743,,1,CBOE S&P 100 INDEX,E,1283.5999755859375
3565019,112878,2018-10-10,2018-10-10,20181002.0,C,1270000,25.5,29.1,0,0.154745,124068743,,1,CBOE S&P 100 INDEX,E,1239.8299560546875
3567515,112878,2018-10-11,2018-10-11,20181002.0,C,1270000,16.5,20.0,0,0.155126,124068743,,1,CBOE S&P 100 INDEX,E,1214.2900390625
3570011,112878,2018-10-12,2018-10-12,20181002.0,C,1270000,20.2,24.3,0,0.145324,124068743,,1,CBOE S&P 100 INDEX,E,1233.6600341796875
3572353,112878,2018-10-15,2018-10-15,20181002.0,C,1270000,16.6,20.1,0,0.144444,124068743,,1,CBOE S&P 100 INDEX,E,1224.489990234375
3574695,112878,2018-10-16,2018-10-16,20181002.0,C,1270000,25.1,28.6,0,0.140108,124068743,,1,CBOE S&P 100 INDEX,E,1250.4599609375
3577037,112878,2018-10-17,2018-10-17,20181002.0,C,1270000,25.5,28.9,0,0.140161,124068743,,1,CBOE S&P 100 INDEX,E,1251.6600341796875
3579379,112878,2018-10-18,2018-10-18,20181002.0,C,1270000,18.8,21.5,0,0.142103,124068743,,1,CBOE S&P 100 INDEX,E,1232.8299560546875
3581721,112878,2018-10-19,2018-10-19,20181002.0,C,1270000,20.6,23.2,0,0.145386,124068743,,1,CBOE S&P 100 INDEX,E,1236.0899658203125
3583833,112878,2018-10-22,2018-10-22,20181002.0,C,1270000,18.3,21.1,0,0.1462,124068743,,1,CBOE S&P 100 INDEX,E,1231.02001953125
3586195,112878,2018-10-23,2018-10-23,20181002.0,C,1270000,16.2,19.3,0,0.146053,124068743,,1,CBOE S&P 100 INDEX,E,1225.8199462890625
3588557,112878,2018-10-24,2018-10-24,20181002.0,C,1270000,8.3,10.5,0,0.156775,124068743,,1,CBOE S&P 100 INDEX,E,1185.780029296875
3591041,112878,2018-10-25,2018-10-25,20181002.0,C,1270000,13.2,16.3,0,0.154533,124068743,,1,CBOE S&P 100 INDEX,E,1211.1099853515625
3593525,112878,2018-10-26,2018-10-26,20181002.0,C,1270000,8.0,10.2,0,0.152553,124068743,,1,CBOE S&P 100 INDEX,E,1189.06005859375
3595855,112878,2018-10-29,2018-10-29,20181002.0,C,1270000,6.1,8.3,0,0.156182,124068743,,1,CBOE S&P 100 INDEX,E,1177.68994140625
3598185,112878,2018-10-30,2018-10-30,20181002.0,C,1270000,9.2,11.4,0,0.157871,124068743,,1,CBOE S&P 100 INDEX,E,1193.699951171875
3600515,112878,2018-10-31,2018-10-31,20181002.0,C,1270000,11.8,15.2,0,0.156607,124068743,,1,CBOE S&P 100 INDEX,E,1208.8399658203125
3602965,112878,2018-11-01,2018-11-01,20181002.0,C,1270000,13.2,16.0,0,0.147265,124068743,,1,CBOE S&P 100 INDEX,E,1219.800048828125
3605415,112878,2018-11-02,2018-11-02,20181002.0,C,1270000,10.1,13.1,0,0.145079,124068743,,1,CBOE S&P 100 INDEX,E,1210.739990234375
3607735,112878,2018-11-05,2018-11-05,20181002.0,C,1270000,12.0,14.8,0,0.148155,124068743,,1,CBOE S&P 100 INDEX,E,1217.5
3610055,112878,2018-11-06,2018-11-06,20181002.0,C,1270000,13.4,16.0,0,0.145019,124068743,,1,CBOE S&P 100 INDEX,E,1224.6700439453125
3612375,112878,2018-11-07,2018-11-07,20181002.0,C,1270000,21.8,24.2,0,0.13762,124068743,,1,CBOE S&P 100 INDEX,E,1252.449951171875
3614817,112878,2018-11-08,2018-11-08,20181002.0,C,1270000,19.4,21.5,0,0.133116,124068743,,1,CBOE S&P 100 INDEX,E,1249.0799560546875
3617297,112878,2018-11-09,2018-11-09,20181002.0,C,1270000,15.4,18.5,0,0.138491,124068743,,1,CBOE S&P 100 INDEX,E,1237.3499755859375
3619647,112878,2018-11-12,2018-11-12,20181002.0,C,1270000,8.1,9.9,0,0.137966,124068743,,1,CBOE S&P 100 INDEX,E,1211.5899658203125
3621997,112878,2018-11-13,2018-11-13,20181002.0,C,1270000,7.7,9.4,0,0.139614,124068743,,1,CBOE S&P 100 INDEX,E,1209.1500244140625
3624347,112878,2018-11-14,2018-11-14,20181002.0,C,1270000,6.3,8.0,0,0.144354,124068743,,1,CBOE S&P 100 INDEX,E,1199.77001953125
3627141,112878,2018-11-15,2018-11-15,20181002.0,C,1270000,8.4,10.3,0,0.142435,124068743,,1,CBOE S&P 100 INDEX,E,1212.5899658203125
3630633,112878,2018-11-16,2018-11-16,20181002.0,C,1270000,7.7,9.5,0,0.13705,124068743,,1,CBOE S&P 100 INDEX,E,1213.72998046875
3633881,112878,2018-11-19,2018-11-19,20181002.0,C,1270000,4.3,5.6,0,0.140723,124068743,,1,CBOE S&P 100 INDEX,E,1193.489990234375
3637129,112878,2018-11-20,2018-11-20,20181002.0,C,1270000,2.5,3.5,0,0.150686,124068743,,1,CBOE S&P 100 INDEX,E,1169.93994140625
3640477,112878,2018-11-21,2018-11-21,20181002.0,C,1270000,1.95,2.7,0,0.141378,124068743,,1,CBOE S&P 100 INDEX,E,1171.2900390625
3643825,112878,2018-11-23,2018-11-23,20181002.0,C,1270000,1.4,2.2,0,0.146785,124068743,,1,CBOE S&P 100 INDEX,E,1161.4000244140625
3646991,112878,2018-11-26,2018-11-26,20181002.0,C,1270000,1.85,2.55,0,0.135005,124068743,,1,CBOE S&P 100 INDEX,E,1180.4599609375
3650157,112878,2018-11-27,2018-11-27,20181002.0,C,1270000,2.25,3.2,0,0.136077,124068743,,1,CBOE S&P 100 INDEX,E,1186.550048828125
3653323,112878,2018-11-28,2018-11-28,20181002.0,C,1270000,6.2,8.3,0,0.138832,124068743,,1,CBOE S&P 100 INDEX,E,1216.0899658203125
3656607,112878,2018-11-29,2018-11-29,20181002.0,C,1270000,6.2,8.2,0,0.143681,124068743,,1,CBOE S&P 100 INDEX,E,1213.699951171875
3659891,112878,2018-11-30,2018-11-30,20181002.0,C,1270000,8.1,10.3,0,0.140687,124068743,,1,CBOE S&P 100 INDEX,E,1225.18994140625
3663009,112878,2018-12-03,2018-12-03,20181002.0,C,1270000,9.8,12.0,0,0.131409,124068743,,1,CBOE S&P 100 INDEX,E,1238.6300048828125
3666127,112878,2018-12-04,2018-12-04,20181002.0,C,1270000,2.9,5.1,0,0.146732,124068743,,1,CBOE S&P 100 INDEX,E,1197.47998046875
3669491,112878,2018-12-06,2018-12-06,20181002.0,C,1270000,2.75,4.4,0,0.146995,124068743,,1,CBOE S&P 100 INDEX,E,1196.199951171875
3672931,112878,2018-12-07,2018-12-07,20181002.0,C,1270000,1.35,2.4,0,0.163043,124068743,,1,CBOE S&P 100 INDEX,E,1167.5699462890625
3676225,112878,2018-12-10,2018-12-10,20181002.0,C,1270000,1.15,2.05,0,0.159697,124068743,,1,CBOE S&P 100 INDEX,E,1170.4100341796875
3679519,112878,2018-12-11,2018-12-11,20181002.0,C,1270000,0.9,1.7,0,0.155334,124068743,,1,CBOE S&P 100 INDEX,E,1170.0799560546875
3682813,112878,2018-12-12,2018-12-12,20181002.0,C,1270000,1.2,1.95,0,0.15616,124068743,,1,CBOE S&P 100 INDEX,E,1176.02001953125
3686107,112878,2018-12-13,2018-12-13,20181002.0,C,1270000,0.9,1.65,0,0.148401,124068743,,1,CBOE S&P 100 INDEX,E,1178.25
3689519,112878,2018-12-14,2018-12-14,20181002.0,C,1270000,0.35,0.9,0,0.161728,124068743,,1,CBOE S&P 100 INDEX,E,1153.5899658203125
3692795,112878,2018-12-17,2018-12-17,20181002.0,C,1270000,0.05,0.55,0,0.178125,124068743,,1,CBOE S&P 100 INDEX,E,1130.6300048828125
3696071,112878,2018-12-18,2018-12-18,20181002.0,C,1270000,0.1,0.65,0,0.185001,124068743,,1,CBOE S&P 100 INDEX,E,1132.030029296875
3699347,112878,2018-12-19,2018-12-19,20181002.0,C,1270000,0.0,0.35,0,0.191268,124068743,,1,CBOE S&P 100 INDEX,E,1113.550048828125
