,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3447973,112878,2018-07-25,2018-07-25,20180725.0,C,1235000,46.4,50.5,23,0.125706,121415366,,1,CBOE S&P 100 INDEX,E,1260.5
3450087,112878,2018-07-26,2018-07-26,20180725.0,C,1235000,41.5,44.0,0,0.124823,121415366,,1,CBOE S&P 100 INDEX,E,1251.5
3452201,112878,2018-07-27,2018-07-27,20180725.0,C,1235000,36.7,39.3,0,0.12378,121415366,,1,CBOE S&P 100 INDEX,E,1243.8299560546875
3454191,112878,2018-07-30,2018-07-30,20180725.0,C,1235000,32.7,35.2,0,0.122552,121415366,,1,CBOE S&P 100 INDEX,E,1237.6300048828125
3456181,112878,2018-07-31,2018-07-31,20180725.0,C,1235000,34.0,37.8,0,0.122078,121415366,,1,CBOE S&P 100 INDEX,E,1241.760009765625
3458171,112878,2018-08-01,2018-08-01,20180725.0,C,1235000,36.1,38.1,0,0.122268,121415366,,1,CBOE S&P 100 INDEX,E,1244.0899658203125
3460285,112878,2018-08-02,2018-08-02,20180725.0,C,1235000,39.9,41.9,0,0.123121,121415366,,1,CBOE S&P 100 INDEX,E,1250.6600341796875
3462399,112878,2018-08-03,2018-08-03,20180725.0,C,1235000,42.7,45.3,0,0.120395,121415366,,1,CBOE S&P 100 INDEX,E,1257.18994140625
3464395,112878,2018-08-06,2018-08-06,20180725.0,C,1235000,45.7,48.5,0,0.120977,121415366,,1,CBOE S&P 100 INDEX,E,1262.5699462890625
3466391,112878,2018-08-07,2018-08-07,20180725.0,C,1235000,48.7,51.3,0,0.123145,121415366,,1,CBOE S&P 100 INDEX,E,1266.4100341796875
3468387,112878,2018-08-08,2018-08-08,20180725.0,C,1235000,49.8,52.0,0,0.127321,121415366,,1,CBOE S&P 100 INDEX,E,1266.699951171875
3470471,112878,2018-08-09,2018-08-09,20180725.0,C,1235000,47.5,50.2,0,0.123935,121415366,,1,CBOE S&P 100 INDEX,E,1265.06005859375
3472555,112878,2018-08-10,2018-08-10,20180725.0,C,1235000,42.7,45.3,0,0.129422,121415366,,1,CBOE S&P 100 INDEX,E,1255.469970703125
3474519,112878,2018-08-13,2018-08-13,20180725.0,C,1235000,40.5,43.2,0,0.134394,121415366,,1,CBOE S&P 100 INDEX,E,1250.5699462890625
3476483,112878,2018-08-14,2018-08-14,20180725.0,C,1235000,43.4,46.3,0,0.130074,121415366,,1,CBOE S&P 100 INDEX,E,1257.5999755859375
3478447,112878,2018-08-15,2018-08-15,20180725.0,C,1235000,38.8,41.4,0,0.134164,121415366,,1,CBOE S&P 100 INDEX,E,1248.2099609375
3480411,112878,2018-08-16,2018-08-16,20180725.0,C,1235000,44.4,47.1,0,0.132167,121415366,,1,CBOE S&P 100 INDEX,E,1258.75
3482375,112878,2018-08-17,2018-08-17,20180725.0,C,1235000,47.1,49.5,0,0.134241,121415366,,1,CBOE S&P 100 INDEX,E,1262.3199462890625
3484213,112878,2018-08-20,2018-08-20,20180725.0,C,1235000,47.8,50.0,0,0.133674,121415366,,1,CBOE S&P 100 INDEX,E,1264.239990234375
3486261,112878,2018-08-21,2018-08-21,20180725.0,C,1235000,49.2,51.7,0,0.134519,121415366,,1,CBOE S&P 100 INDEX,E,1266.5400390625
3488309,112878,2018-08-22,2018-08-22,20180725.0,C,1235000,49.7,52.1,0,0.135632,121415366,,1,CBOE S&P 100 INDEX,E,1267.0899658203125
3490483,112878,2018-08-23,2018-08-23,20180725.0,C,1235000,47.5,50.2,0,0.133223,121415366,,1,CBOE S&P 100 INDEX,E,1265.0799560546875
3492657,112878,2018-08-24,2018-08-24,20180725.0,C,1235000,53.0,55.4,0,0.135896,121415366,,1,CBOE S&P 100 INDEX,E,1272.4300537109375
3494703,112878,2018-08-27,2018-08-27,20180725.0,C,1235000,60.5,63.2,0,0.137449,121415366,,1,CBOE S&P 100 INDEX,E,1283.449951171875
3496749,112878,2018-08-28,2018-08-28,20180725.0,C,1235000,60.3,63.1,0,0.138324,121415366,,1,CBOE S&P 100 INDEX,E,1283.239990234375
3498795,112878,2018-08-29,2018-08-29,20180725.0,C,1235000,67.6,70.0,0,0.144157,121415366,,1,CBOE S&P 100 INDEX,E,1291.510009765625
3500969,112878,2018-08-30,2018-08-30,20180725.0,C,1235000,63.9,67.4,0,0.144654,121415366,,1,CBOE S&P 100 INDEX,E,1287.3599853515625
3503143,112878,2018-08-31,2018-08-31,20180725.0,C,1235000,63.5,66.3,0,0.143303,121415366,,1,CBOE S&P 100 INDEX,E,1286.9000244140625
3505191,112878,2018-09-04,2018-09-04,20180725.0,C,1235000,60.8,63.2,0,0.142697,121415366,,1,CBOE S&P 100 INDEX,E,1284.030029296875
3507239,112878,2018-09-05,2018-09-05,20180725.0,C,1235000,58.0,60.4,0,0.146442,121415366,,1,CBOE S&P 100 INDEX,E,1279.4300537109375
3509415,112878,2018-09-06,2018-09-06,20180725.0,C,1235000,54.7,57.2,0,0.150313,121415366,,1,CBOE S&P 100 INDEX,E,1273.97998046875
3511591,112878,2018-09-07,2018-09-07,20180725.0,C,1235000,52.5,55.5,0,0.150747,121415366,,1,CBOE S&P 100 INDEX,E,1271.27001953125
3513643,112878,2018-09-10,2018-09-10,20180725.0,C,1235000,51.9,54.1,0,0.145044,121415366,,1,CBOE S&P 100 INDEX,E,1272.2900390625
3515695,112878,2018-09-11,2018-09-11,20180725.0,C,1235000,56.1,58.1,0,0.142194,121415366,,1,CBOE S&P 100 INDEX,E,1279.0699462890625
3517747,112878,2018-09-12,2018-09-12,20180725.0,C,1235000,55.4,57.9,0,0.139881,121415366,,1,CBOE S&P 100 INDEX,E,1279.4300537109375
3519929,112878,2018-09-13,2018-09-13,20180725.0,C,1235000,59.8,62.0,0,0.134239,121415366,,1,CBOE S&P 100 INDEX,E,1286.56005859375
3522111,112878,2018-09-14,2018-09-14,20180725.0,C,1235000,59.2,62.2,0,0.138437,121415366,,1,CBOE S&P 100 INDEX,E,1285.5999755859375
3524169,112878,2018-09-17,2018-09-17,20180725.0,C,1235000,52.1,54.6,0,0.13365,121415366,,1,CBOE S&P 100 INDEX,E,1277.5699462890625
3526227,112878,2018-09-18,2018-09-18,20180725.0,C,1235000,59.3,61.7,0,0.144953,121415366,,1,CBOE S&P 100 INDEX,E,1284.9100341796875
3528530,112878,2018-09-19,2018-09-19,20180725.0,C,1235000,61.2,63.1,0,0.140539,121415366,,1,CBOE S&P 100 INDEX,E,1288.1500244140625
3530882,112878,2018-09-20,2018-09-20,20180725.0,C,1235000,70.3,72.7,0,0.143894,121415366,,1,CBOE S&P 100 INDEX,E,1299.4000244140625
3533234,112878,2018-09-21,2018-09-21,20180725.0,C,1235000,68.1,70.3,0,0.135304,121415366,,1,CBOE S&P 100 INDEX,E,1298.1400146484375
3535440,112878,2018-09-24,2018-09-24,20180725.0,C,1235000,66.2,68.5,0,0.146541,121415366,,1,CBOE S&P 100 INDEX,E,1294.7099609375
3537838,112878,2018-09-25,2018-09-25,20180725.0,C,1235000,65.1,67.0,0,0.14275,121415366,,1,CBOE S&P 100 INDEX,E,1293.9100341796875
3540236,112878,2018-09-26,2018-09-26,20180725.0,C,1235000,61.9,64.4,0,0.145398,121415366,,1,CBOE S&P 100 INDEX,E,1290.0799560546875
3542752,112878,2018-09-27,2018-09-27,20180725.0,C,1235000,67.3,69.4,0,0.154313,121415366,,1,CBOE S&P 100 INDEX,E,1295.3199462890625
3545268,112878,2018-09-28,2018-09-28,20180725.0,C,1235000,64.8,66.9,0,0.142783,121415366,,1,CBOE S&P 100 INDEX,E,1294.27001953125
3547598,112878,2018-10-01,2018-10-01,20180725.0,C,1235000,70.0,72.1,0,0.144758,121415366,,1,CBOE S&P 100 INDEX,E,1300.8399658203125
3550006,112878,2018-10-02,2018-10-02,20180725.0,C,1235000,71.3,73.4,0,0.152609,121415366,,1,CBOE S&P 100 INDEX,E,1301.56005859375
3552414,112878,2018-10-03,2018-10-03,20180725.0,C,1235000,72.0,74.1,0,0.151145,121415366,,1,CBOE S&P 100 INDEX,E,1302.800048828125
3554874,112878,2018-10-04,2018-10-04,20180725.0,C,1235000,63.5,65.8,0,0.160744,121415366,,1,CBOE S&P 100 INDEX,E,1291.530029296875
3557398,112878,2018-10-05,2018-10-05,20180725.0,C,1235000,56.6,59.7,0,0.16184,121415366,,1,CBOE S&P 100 INDEX,E,1283.3399658203125
3559764,112878,2018-10-08,2018-10-08,20180725.0,C,1235000,57.8,60.5,0,0.172521,121415366,,1,CBOE S&P 100 INDEX,E,1283.8699951171875
3562130,112878,2018-10-09,2018-10-09,20180725.0,C,1235000,58.1,59.9,0,0.175144,121415366,,1,CBOE S&P 100 INDEX,E,1283.5999755859375
3564496,112878,2018-10-10,2018-10-10,20180725.0,C,1235000,31.1,33.5,0,0.190257,121415366,,1,CBOE S&P 100 INDEX,E,1239.8299560546875
3566862,112878,2018-10-11,2018-10-11,20180725.0,C,1235000,18.5,22.0,0,0.192333,121415366,,1,CBOE S&P 100 INDEX,E,1214.2900390625
3569358,112878,2018-10-12,2018-10-12,20180725.0,C,1235000,24.2,27.2,0,0.173398,121415366,,1,CBOE S&P 100 INDEX,E,1233.6600341796875
3571700,112878,2018-10-15,2018-10-15,20180725.0,C,1235000,18.8,21.1,0,0.17159,121415366,,1,CBOE S&P 100 INDEX,E,1224.489990234375
3574042,112878,2018-10-16,2018-10-16,20180725.0,C,1235000,29.8,32.1,0,0.15564,121415366,,1,CBOE S&P 100 INDEX,E,1250.4599609375
3576384,112878,2018-10-17,2018-10-17,20180725.0,C,1235000,30.3,32.4,0,0.15571,121415366,,1,CBOE S&P 100 INDEX,E,1251.6600341796875
3578726,112878,2018-10-18,2018-10-18,20180725.0,C,1235000,20.2,21.7,0,0.159257,121415366,,1,CBOE S&P 100 INDEX,E,1232.8299560546875
3581068,112878,2018-10-19,2018-10-19,20180725.0,C,1235000,21.6,23.5,0,0.161777,121415366,,1,CBOE S&P 100 INDEX,E,1236.0899658203125
3583180,112878,2018-10-22,2018-10-22,20180725.0,C,1235000,18.9,20.4,0,0.168228,121415366,,1,CBOE S&P 100 INDEX,E,1231.02001953125
3585542,112878,2018-10-23,2018-10-23,20180725.0,C,1235000,16.2,18.1,0,0.170769,121415366,,1,CBOE S&P 100 INDEX,E,1225.8199462890625
3587904,112878,2018-10-24,2018-10-24,20180725.0,C,1235000,5.0,7.2,0,0.187707,121415366,,1,CBOE S&P 100 INDEX,E,1185.780029296875
3590266,112878,2018-10-25,2018-10-25,20180725.0,C,1235000,12.1,14.3,0,0.19423,121415366,,1,CBOE S&P 100 INDEX,E,1211.1099853515625
3592750,112878,2018-10-26,2018-10-26,20180725.0,C,1235000,4.9,7.1,0,0.186851,121415366,,1,CBOE S&P 100 INDEX,E,1189.06005859375
3595080,112878,2018-10-29,2018-10-29,20180725.0,C,1235000,2.7,4.9,0,0.19849,121415366,,1,CBOE S&P 100 INDEX,E,1177.68994140625
3597410,112878,2018-10-30,2018-10-30,20180725.0,C,1235000,5.4,7.2,0,0.198443,121415366,,1,CBOE S&P 100 INDEX,E,1193.699951171875
3599740,112878,2018-10-31,2018-10-31,20180725.0,C,1235000,7.9,9.8,0,0.187938,121415366,,1,CBOE S&P 100 INDEX,E,1208.8399658203125
