,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
2437149,112878,2016-04-28,2016-04-28,20160428.0,C,900000,89.5,94.5,21,0.17524,110254013,,1,CBOE S&P 100 INDEX,E,918.8499755859375
2439043,112878,2016-04-29,2016-04-29,20160428.0,C,900000,88.0,93.0,0,0.176094,110254013,,1,CBOE S&P 100 INDEX,E,915.02001953125
2440318,112878,2016-05-02,2016-05-02,20160428.0,C,900000,91.8,96.8,0,0.176696,110254013,,1,CBOE S&P 100 INDEX,E,922.3499755859375
2442084,112878,2016-05-03,2016-05-03,20160428.0,C,900000,87.6,92.6,0,0.176744,110254013,,1,CBOE S&P 100 INDEX,E,915.0
2443852,112878,2016-05-04,2016-05-04,20160428.0,C,900000,85.5,90.5,0,0.178465,110254013,,1,CBOE S&P 100 INDEX,E,909.4400024414062
2445687,112878,2016-05-05,2016-05-05,20160428.0,C,900000,84.5,89.5,0,0.177847,110254013,,1,CBOE S&P 100 INDEX,E,908.7999877929688
2447561,112878,2016-05-06,2016-05-06,20160428.0,C,900000,86.7,91.7,0,0.179214,110254013,,1,CBOE S&P 100 INDEX,E,912.0999755859375
2449315,112878,2016-05-09,2016-05-09,20160428.0,C,900000,86.1,91.1,0,0.178881,110254013,,1,CBOE S&P 100 INDEX,E,912.5399780273438
2451069,112878,2016-05-10,2016-05-10,20160428.0,C,900000,92.1,97.1,0,0.17925,110254013,,1,CBOE S&P 100 INDEX,E,924.4000244140625
2452823,112878,2016-05-11,2016-05-11,20160428.0,C,900000,89.2,94.2,0,0.182028,110254013,,1,CBOE S&P 100 INDEX,E,915.6199951171875
2454601,112878,2016-05-12,2016-05-12,20160428.0,C,900000,89.4,94.4,0,0.181501,110254013,,1,CBOE S&P 100 INDEX,E,915.9600219726562
2456465,112878,2016-05-13,2016-05-13,20160428.0,C,900000,84.3,89.3,0,0.179933,110254013,,1,CBOE S&P 100 INDEX,E,907.8099975585938
2458225,112878,2016-05-16,2016-05-16,20160428.0,C,900000,89.1,94.1,0,0.180575,110254013,,1,CBOE S&P 100 INDEX,E,916.2999877929688
2459983,112878,2016-05-17,2016-05-17,20160428.0,C,900000,84.2,89.2,0,0.179756,110254013,,1,CBOE S&P 100 INDEX,E,906.8200073242188
2461745,112878,2016-05-18,2016-05-18,20160428.0,C,900000,85.3,90.3,0,0.179573,110254013,,1,CBOE S&P 100 INDEX,E,907.760009765625
2463512,112878,2016-05-19,2016-05-19,20160428.0,C,900000,83.6,88.6,0,0.17992,110254013,,1,CBOE S&P 100 INDEX,E,904.239990234375
2465278,112878,2016-05-20,2016-05-20,20160428.0,C,900000,86.2,91.2,0,0.180483,110254013,,1,CBOE S&P 100 INDEX,E,909.1500244140625
2466962,112878,2016-05-23,2016-05-23,20160428.0,C,900000,85.3,90.3,0,0.180627,110254013,,1,CBOE S&P 100 INDEX,E,906.989990234375
2468624,112878,2016-05-24,2016-05-24,20160428.0,C,900000,91.8,96.8,0,0.181342,110254013,,1,CBOE S&P 100 INDEX,E,919.1900024414062
2470284,112878,2016-05-25,2016-05-25,20160428.0,C,900000,95.4,100.4,0,0.181449,110254013,,1,CBOE S&P 100 INDEX,E,926.2999877929688
2471946,112878,2016-05-26,2016-05-26,20160428.0,C,900000,94.3,99.3,0,0.180031,110254013,,1,CBOE S&P 100 INDEX,E,926.1599731445312
2473717,112878,2016-05-27,2016-05-27,20160428.0,C,900000,95.9,100.9,0,0.18016,110254013,,1,CBOE S&P 100 INDEX,E,929.489990234375
2475380,112878,2016-05-31,2016-05-31,20160428.0,C,900000,95.3,100.3,0,0.180847,110254013,,1,CBOE S&P 100 INDEX,E,927.6500244140625
2477753,112878,2016-06-01,2016-06-01,20160428.0,C,900000,95.7,100.7,0,0.18059,110254013,,1,CBOE S&P 100 INDEX,E,928.0999755859375
2479517,112878,2016-06-02,2016-06-02,20160428.0,C,900000,96.1,101.1,0,0.180114,110254013,,1,CBOE S&P 100 INDEX,E,929.9400024414062
2481281,112878,2016-06-03,2016-06-03,20160428.0,C,900000,94.0,99.0,0,0.180747,110254013,,1,CBOE S&P 100 INDEX,E,927.4600219726562
2482933,112878,2016-06-06,2016-06-06,20160428.0,C,900000,97.5,102.5,0,0.182706,110254013,,1,CBOE S&P 100 INDEX,E,931.9000244140625
2484585,112878,2016-06-07,2016-06-07,20160428.0,C,900000,98.1,103.1,0,0.183759,110254013,,1,CBOE S&P 100 INDEX,E,932.22998046875
2486237,112878,2016-06-08,2016-06-08,20160428.0,C,900000,99.9,104.9,0,0.184475,110254013,,1,CBOE S&P 100 INDEX,E,935.27001953125
2487991,112878,2016-06-09,2016-06-09,20160428.0,C,900000,100.0,105.0,0,0.186592,110254013,,1,CBOE S&P 100 INDEX,E,933.5800170898438
2489745,112878,2016-06-10,2016-06-10,20160428.0,C,900000,96.3,101.3,0,0.187004,110254013,,1,CBOE S&P 100 INDEX,E,926.75
2491393,112878,2016-06-13,2016-06-13,20160428.0,C,900000,95.0,100.0,0,0.19181,110254013,,1,CBOE S&P 100 INDEX,E,919.4500122070312
2493041,112878,2016-06-14,2016-06-14,20160428.0,C,900000,94.0,99.0,0,0.190894,110254013,,1,CBOE S&P 100 INDEX,E,918.4600219726562
2494697,112878,2016-06-15,2016-06-15,20160428.0,C,900000,91.2,96.2,0,0.188528,110254013,,1,CBOE S&P 100 INDEX,E,915.72998046875
2496353,112878,2016-06-16,2016-06-16,20160428.0,C,900000,92.3,97.3,0,0.187235,110254013,,1,CBOE S&P 100 INDEX,E,919.5399780273438
2498009,112878,2016-06-17,2016-06-17,20160428.0,C,900000,89.5,94.5,0,0.185963,110254013,,1,CBOE S&P 100 INDEX,E,914.9500122070312
2499695,112878,2016-06-20,2016-06-20,20160428.0,C,900000,91.8,96.8,0,0.1855,110254013,,1,CBOE S&P 100 INDEX,E,919.27001953125
2501381,112878,2016-06-21,2016-06-21,20160428.0,C,900000,93.3,98.3,0,0.185392,110254013,,1,CBOE S&P 100 INDEX,E,922.0499877929688
2503165,112878,2016-06-22,2016-06-22,20160428.0,C,900000,92.2,97.2,0,0.184694,110254013,,1,CBOE S&P 100 INDEX,E,920.8200073242188
2505051,112878,2016-06-23,2016-06-23,20160428.0,C,900000,95.7,100.7,0,0.17972,110254013,,1,CBOE S&P 100 INDEX,E,932.5800170898438
2506937,112878,2016-06-24,2016-06-24,20160428.0,C,900000,81.7,86.7,0,0.185484,110254013,,1,CBOE S&P 100 INDEX,E,900.510009765625
2508713,112878,2016-06-27,2016-06-27,20160428.0,C,900000,73.0,78.0,0,0.181426,110254013,,1,CBOE S&P 100 INDEX,E,887.3800048828125
2510489,112878,2016-06-28,2016-06-28,20160428.0,C,900000,78.3,83.3,0,0.178257,110254013,,1,CBOE S&P 100 INDEX,E,902.3599853515625
2512265,112878,2016-06-29,2016-06-29,20160428.0,C,900000,85.6,90.6,0,0.178583,110254013,,1,CBOE S&P 100 INDEX,E,916.8200073242188
2514145,112878,2016-06-30,2016-06-30,20160428.0,C,900000,91.8,96.8,0,0.179624,110254013,,1,CBOE S&P 100 INDEX,E,928.1300048828125
2515979,112878,2016-07-01,2016-07-01,20160428.0,C,900000,94.1,99.1,0,0.182261,110254013,,1,CBOE S&P 100 INDEX,E,929.6799926757812
2517703,112878,2016-07-05,2016-07-05,20160428.0,C,900000,91.5,96.5,0,0.182515,110254013,,1,CBOE S&P 100 INDEX,E,924.7100219726562
2519427,112878,2016-07-06,2016-07-06,20160428.0,C,900000,96.1,101.1,0,0.185986,110254013,,1,CBOE S&P 100 INDEX,E,929.8400268554688
2521253,112878,2016-07-07,2016-07-07,20160428.0,C,900000,95.6,100.6,0,0.185693,110254013,,1,CBOE S&P 100 INDEX,E,929.3400268554688
2523079,112878,2016-07-08,2016-07-08,20160428.0,C,900000,100.8,107.5,0,0.184429,110254013,,1,CBOE S&P 100 INDEX,E,942.25
2524799,112878,2016-07-11,2016-07-11,20160428.0,C,900000,103.1,110.4,0,0.184589,110254013,,1,CBOE S&P 100 INDEX,E,945.6400146484375
2526527,112878,2016-07-12,2016-07-12,20160428.0,C,900000,105.8,113.8,0,0.184223,110254013,,1,CBOE S&P 100 INDEX,E,950.989990234375
2528255,112878,2016-07-13,2016-07-13,20160428.0,C,900000,104.7,112.7,0,0.182546,110254013,,1,CBOE S&P 100 INDEX,E,951.02001953125
2529983,112878,2016-07-14,2016-07-14,20160428.0,C,900000,108.9,116.9,0,0.183698,110254013,,1,CBOE S&P 100 INDEX,E,956.6300048828125
2531711,112878,2016-07-15,2016-07-15,20160428.0,C,900000,108.5,116.5,0,0.182161,110254013,,1,CBOE S&P 100 INDEX,E,955.9199829101562
2533497,112878,2016-07-18,2016-07-18,20160428.0,C,900000,110.9,117.9,0,0.182784,110254013,,1,CBOE S&P 100 INDEX,E,958.7100219726562
2535287,112878,2016-07-19,2016-07-19,20160428.0,C,900000,110.1,117.8,0,0.182479,110254013,,1,CBOE S&P 100 INDEX,E,958.4199829101562
2537077,112878,2016-07-20,2016-07-20,20160428.0,C,900000,114.2,121.1,0,0.185301,110254013,,1,CBOE S&P 100 INDEX,E,962.4400024414062
2538969,112878,2016-07-21,2016-07-21,20160428.0,C,900000,111.5,119.5,0,0.185033,110254013,,1,CBOE S&P 100 INDEX,E,959.0800170898438
2540861,112878,2016-07-22,2016-07-22,20160428.0,C,900000,113.4,121.4,0,0.184963,110254013,,1,CBOE S&P 100 INDEX,E,962.2899780273438
2542651,112878,2016-07-25,2016-07-25,20160428.0,C,900000,111.9,119.5,0,0.185045,110254013,,1,CBOE S&P 100 INDEX,E,959.1699829101562
2544441,112878,2016-07-26,2016-07-26,20160428.0,C,900000,111.2,117.6,0,0.185066,110254013,,1,CBOE S&P 100 INDEX,E,957.0900268554688
2546231,112878,2016-07-27,2016-07-27,20160428.0,C,900000,111.6,119.6,0,0.18626,110254013,,1,CBOE S&P 100 INDEX,E,958.5900268554688
2548121,112878,2016-07-28,2016-07-28,20160428.0,C,900000,112.5,120.2,0,0.187031,110254013,,1,CBOE S&P 100 INDEX,E,959.5999755859375
2550011,112878,2016-07-29,2016-07-29,20160428.0,C,900000,112.4,119.8,0,0.18529,110254013,,1,CBOE S&P 100 INDEX,E,961.75
2550411,112878,2016-08-01,2016-08-01,20160428.0,C,900000,112.2,118.8,0,0.183974,110254013,,1,CBOE S&P 100 INDEX,E,961.7899780273438
2552199,112878,2016-08-02,2016-08-02,20160428.0,C,900000,110.6,118.2,0,0.186402,110254013,,1,CBOE S&P 100 INDEX,E,957.1199951171875
2553987,112878,2016-08-03,2016-08-03,20160428.0,C,900000,111.2,118.8,0,0.186006,110254013,,1,CBOE S&P 100 INDEX,E,958.8300170898438
2555834,112878,2016-08-04,2016-08-04,20160428.0,C,900000,110.6,118.3,0,0.185368,110254013,,1,CBOE S&P 100 INDEX,E,958.9400024414062
