,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3321330,112878,2018-04-24,2018-04-24,20180424.0,C,1220000,62.7,67.7,12,0.160224,114282460,,1,CBOE S&P 100 INDEX,E,1153.8399658203125
3323230,112878,2018-04-25,2018-04-25,20180424.0,C,1220000,63.1,67.8,0,0.159343,114282460,,1,CBOE S&P 100 INDEX,E,1155.3800048828125
3325250,112878,2018-04-26,2018-04-26,20180424.0,C,1220000,69.3,74.3,0,0.160447,114282460,,1,CBOE S&P 100 INDEX,E,1169.1700439453125
3327270,112878,2018-04-27,2018-04-27,20180424.0,C,1220000,69.3,74.2,0,0.159584,114282460,,1,CBOE S&P 100 INDEX,E,1169.9000244140625
3329146,112878,2018-04-30,2018-04-30,20180424.0,C,1220000,66.0,70.3,0,0.160619,114282460,,1,CBOE S&P 100 INDEX,E,1160.72998046875
3331022,112878,2018-05-01,2018-05-01,20180424.0,C,1220000,65.0,70.0,0,0.156712,114282460,,1,CBOE S&P 100 INDEX,E,1164.4000244140625
3332898,112878,2018-05-02,2018-05-02,20180424.0,C,1220000,60.6,65.6,0,0.154662,114282460,,1,CBOE S&P 100 INDEX,E,1156.6400146484375
3334892,112878,2018-05-03,2018-05-03,20180424.0,C,1220000,59.4,64.4,0,0.154625,114282460,,1,CBOE S&P 100 INDEX,E,1153.9300537109375
3336886,112878,2018-05-04,2018-05-04,20180424.0,C,1220000,66.5,71.3,0,0.155111,114282460,,1,CBOE S&P 100 INDEX,E,1169.6400146484375
3338758,112878,2018-05-07,2018-05-07,20180424.0,C,1220000,68.8,73.6,0,0.155824,114282460,,1,CBOE S&P 100 INDEX,E,1174.260009765625
3340630,112878,2018-05-08,2018-05-08,20180424.0,C,1220000,67.8,72.8,0,0.154979,114282460,,1,CBOE S&P 100 INDEX,E,1173.77001953125
3342502,112878,2018-05-09,2018-05-09,20180424.0,C,1220000,74.0,79.0,0,0.156603,114282460,,1,CBOE S&P 100 INDEX,E,1185.68994140625
3344484,112878,2018-05-10,2018-05-10,20180424.0,C,1220000,80.6,85.6,0,0.158763,114282460,,1,CBOE S&P 100 INDEX,E,1197.1600341796875
3346466,112878,2018-05-11,2018-05-11,20180424.0,C,1220000,81.2,86.2,0,0.157827,114282460,,1,CBOE S&P 100 INDEX,E,1200.1300048828125
3348330,112878,2018-05-14,2018-05-14,20180424.0,C,1220000,80.4,85.4,0,0.155387,114282460,,1,CBOE S&P 100 INDEX,E,1202.06005859375
3350194,112878,2018-05-15,2018-05-15,20180424.0,C,1220000,76.3,81.3,0,0.155618,114282460,,1,CBOE S&P 100 INDEX,E,1192.81005859375
3352330,112878,2018-05-16,2018-05-16,20180424.0,C,1220000,78.6,83.6,0,0.155845,114282460,,1,CBOE S&P 100 INDEX,E,1197.260009765625
3354466,112878,2018-05-17,2018-05-17,20180424.0,C,1220000,78.1,83.1,0,0.157432,114282460,,1,CBOE S&P 100 INDEX,E,1194.5799560546875
3356602,112878,2018-05-18,2018-05-18,20180424.0,C,1220000,76.1,81.1,0,0.157873,114282460,,1,CBOE S&P 100 INDEX,E,1190.6500244140625
3358514,112878,2018-05-21,2018-05-21,20180424.0,C,1220000,80.6,85.6,0,0.157693,114282460,,1,CBOE S&P 100 INDEX,E,1200.530029296875
3360426,112878,2018-05-22,2018-05-22,20180424.0,C,1220000,79.9,84.4,0,0.159216,114282460,,1,CBOE S&P 100 INDEX,E,1197.1400146484375
3362338,112878,2018-05-23,2018-05-23,20180424.0,C,1220000,80.4,85.0,0,0.157323,114282460,,1,CBOE S&P 100 INDEX,E,1201.4599609375
3364374,112878,2018-05-24,2018-05-24,20180424.0,C,1220000,78.0,83.0,0,0.157171,114282460,,1,CBOE S&P 100 INDEX,E,1197.6800537109375
3366410,112878,2018-05-25,2018-05-25,20180424.0,C,1220000,76.9,81.9,0,0.15843,114282460,,1,CBOE S&P 100 INDEX,E,1194.530029296875
3368328,112878,2018-05-29,2018-05-29,20180424.0,C,1220000,69.8,74.8,0,0.15978,114282460,,1,CBOE S&P 100 INDEX,E,1180.3399658203125
3370246,112878,2018-05-30,2018-05-30,20180424.0,C,1220000,77.3,82.3,0,0.160336,114282460,,1,CBOE S&P 100 INDEX,E,1194.9000244140625
3372284,112878,2018-05-31,2018-05-31,20180424.0,C,1220000,74.8,79.8,0,0.16075,114282460,,1,CBOE S&P 100 INDEX,E,1188.9100341796875
3374322,112878,2018-06-01,2018-06-01,20180424.0,C,1220000,80.5,85.5,0,0.159441,114282460,,1,CBOE S&P 100 INDEX,E,1202.010009765625
3376240,112878,2018-06-04,2018-06-04,20180424.0,C,1220000,84.4,89.4,0,0.161178,114282460,,1,CBOE S&P 100 INDEX,E,1207.6500244140625
