,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3134692,112878,2017-11-30,2017-11-30,20171130.0,C,1180000,83.0,88.0,7,0.153229,114282458,,1,CBOE S&P 100 INDEX,E,1167.7900390625
3136522,112878,2017-12-01,2017-12-01,20171130.0,C,1180000,81.1,86.1,0,0.151477,114282458,,1,CBOE S&P 100 INDEX,E,1166.18994140625
3138230,112878,2017-12-04,2017-12-04,20171130.0,C,1180000,81.2,86.2,0,0.151275,114282458,,1,CBOE S&P 100 INDEX,E,1165.989990234375
3139938,112878,2017-12-05,2017-12-05,20171130.0,C,1180000,79.0,84.0,0,0.150122,114282458,,1,CBOE S&P 100 INDEX,E,1162.6400146484375
3141646,112878,2017-12-06,2017-12-06,20171130.0,C,1180000,78.1,83.1,0,0.148972,114282458,,1,CBOE S&P 100 INDEX,E,1162.510009765625
3143454,112878,2017-12-07,2017-12-07,20171130.0,C,1180000,78.7,83.7,0,0.148114,114282458,,1,CBOE S&P 100 INDEX,E,1164.5999755859375
3145262,112878,2017-12-08,2017-12-08,20171130.0,C,1180000,82.0,87.0,0,0.148597,114282458,,1,CBOE S&P 100 INDEX,E,1170.8199462890625
3146954,112878,2017-12-11,2017-12-11,20171130.0,C,1180000,85.2,90.2,0,0.149122,114282458,,1,CBOE S&P 100 INDEX,E,1176.449951171875
3148646,112878,2017-12-12,2017-12-12,20171130.0,C,1180000,88.5,92.7,0,0.150183,114282458,,1,CBOE S&P 100 INDEX,E,1180.469970703125
3150364,112878,2017-12-13,2017-12-13,20171130.0,C,1180000,88.2,93.2,0,0.150955,114282458,,1,CBOE S&P 100 INDEX,E,1180.239990234375
3152092,112878,2017-12-14,2017-12-14,20171130.0,C,1180000,88.9,93.9,0,0.154483,114282458,,1,CBOE S&P 100 INDEX,E,1176.550048828125
3153820,112878,2017-12-15,2017-12-15,20171130.0,C,1180000,93.7,98.7,0,0.152521,114282458,,1,CBOE S&P 100 INDEX,E,1186.6800537109375
3155468,112878,2017-12-18,2017-12-18,20171218.0,C,1180000,97.7,102.7,7,0.154339,114282458,,1,CBOE S&P 100 INDEX,E,1192.219970703125
3157116,112878,2017-12-19,2017-12-19,20171218.0,C,1180000,96.2,101.2,0,0.154853,114282458,,1,CBOE S&P 100 INDEX,E,1188.2900390625
3158764,112878,2017-12-20,2017-12-20,20171218.0,C,1180000,94.1,99.1,0,0.1529,114282458,,1,CBOE S&P 100 INDEX,E,1186.5699462890625
3160582,112878,2017-12-21,2017-12-21,20171218.0,C,1180000,97.8,102.8,0,0.155584,114282458,,1,CBOE S&P 100 INDEX,E,1190.3900146484375
3162400,112878,2017-12-22,2017-12-22,20171218.0,C,1180000,97.7,102.7,0,0.156591,114282458,,1,CBOE S&P 100 INDEX,E,1189.02001953125
3164104,112878,2017-12-26,2017-12-26,20171218.0,C,1180000,98.8,103.8,0,0.160908,114282458,,1,CBOE S&P 100 INDEX,E,1186.6199951171875
3165808,112878,2017-12-27,2017-12-27,20171218.0,C,1180000,96.9,101.9,0,0.157733,114282458,,1,CBOE S&P 100 INDEX,E,1187.699951171875
3167622,112878,2017-12-28,2017-12-28,20171218.0,C,1180000,98.4,103.4,0,0.158987,114282458,,1,CBOE S&P 100 INDEX,E,1189.2900390625
3169436,112878,2017-12-29,2017-12-29,20171218.0,C,1180000,95.9,100.9,0,0.160833,114282458,,1,CBOE S&P 100 INDEX,E,1183.1500244140625
3171176,112878,2018-01-02,2018-01-02,20171218.0,C,1180000,99.0,104.0,0,0.157186,114282458,,1,CBOE S&P 100 INDEX,E,1193.550048828125
3172916,112878,2018-01-03,2018-01-03,20171218.0,C,1180000,101.7,109.7,0,0.157729,114282458,,1,CBOE S&P 100 INDEX,E,1200.739990234375
3174764,112878,2018-01-04,2018-01-04,20171218.0,C,1180000,105.2,113.2,0,0.157811,114282458,,1,CBOE S&P 100 INDEX,E,1206.260009765625
3176612,112878,2018-01-05,2018-01-05,20171218.0,C,1180000,111.7,119.7,0,0.159938,114282458,,1,CBOE S&P 100 INDEX,E,1215.56005859375
3178356,112878,2018-01-08,2018-01-08,20171218.0,C,1180000,112.1,119.7,0,0.159995,114282458,,1,CBOE S&P 100 INDEX,E,1216.0999755859375
3180234,112878,2018-01-09,2018-01-09,20171218.0,C,1180000,116.2,123.1,0,0.163766,114282458,,1,CBOE S&P 100 INDEX,E,1218.1199951171875
3182142,112878,2018-01-10,2018-01-10,20171218.0,C,1180000,114.1,122.1,0,0.161751,114282458,,1,CBOE S&P 100 INDEX,E,1217.949951171875
3184180,112878,2018-01-11,2018-01-11,20171218.0,C,1180000,119.4,125.7,0,0.161981,114282458,,1,CBOE S&P 100 INDEX,E,1225.8199462890625
3186218,112878,2018-01-12,2018-01-12,20171218.0,C,1180000,126.1,134.1,0,0.165313,114282458,,1,CBOE S&P 100 INDEX,E,1234.550048828125
3188144,112878,2018-01-16,2018-01-16,20171218.0,C,1180000,127.7,134.9,0,0.169758,114282458,,1,CBOE S&P 100 INDEX,E,1231.7900390625
3190070,112878,2018-01-17,2018-01-17,20171218.0,C,1180000,134.4,140.3,0,0.168142,114282458,,1,CBOE S&P 100 INDEX,E,1243.3800048828125
3191996,112878,2018-01-18,2018-01-18,20171218.0,C,1180000,133.7,139.5,0,0.168493,114282458,,1,CBOE S&P 100 INDEX,E,1241.5899658203125
3193994,112878,2018-01-19,2018-01-19,20171218.0,C,1180000,135.2,143.2,0,0.168532,114282458,,1,CBOE S&P 100 INDEX,E,1245.699951171875
3196006,112878,2018-01-22,2018-01-22,20171218.0,C,1180000,143.7,151.7,0,0.171806,114282458,,1,CBOE S&P 100 INDEX,E,1256.7099609375
3198036,112878,2018-01-23,2018-01-23,20171218.0,C,1180000,146.1,154.1,0,0.175104,114282458,,1,CBOE S&P 100 INDEX,E,1257.47998046875
3200066,112878,2018-01-24,2018-01-24,20171218.0,C,1180000,147.5,155.1,0,0.177402,114282458,,1,CBOE S&P 100 INDEX,E,1256.5400390625
3202206,112878,2018-01-25,2018-01-25,20171218.0,C,1180000,147.2,155.2,0,0.175715,114282458,,1,CBOE S&P 100 INDEX,E,1258.0400390625
3204346,112878,2018-01-26,2018-01-26,20171218.0,C,1180000,159.0,167.0,0,0.177762,114282458,,1,CBOE S&P 100 INDEX,E,1273.989990234375
3206354,112878,2018-01-29,2018-01-29,20171218.0,C,1180000,155.9,163.9,0,0.181327,114282458,,1,CBOE S&P 100 INDEX,E,1265.56005859375
3208362,112878,2018-01-30,2018-01-30,20171218.0,C,1180000,148.1,156.1,0,0.182034,114282458,,1,CBOE S&P 100 INDEX,E,1251.9300537109375
3210370,112878,2018-01-31,2018-01-31,20171218.0,C,1180000,146.8,154.8,0,0.180145,114282458,,1,CBOE S&P 100 INDEX,E,1251.4200439453125
3212490,112878,2018-02-01,2018-02-01,20171218.0,C,1180000,145.7,153.7,0,0.177518,114282458,,1,CBOE S&P 100 INDEX,E,1252.1500244140625
3214610,112878,2018-02-02,2018-02-02,20171218.0,C,1180000,128.5,136.5,0,0.176132,114282458,,1,CBOE S&P 100 INDEX,E,1224.68994140625
3216598,112878,2018-02-05,2018-02-05,20171218.0,C,1180000,105.0,113.0,0,0.187052,114282458,,1,CBOE S&P 100 INDEX,E,1171.8499755859375
3218586,112878,2018-02-06,2018-02-06,20171218.0,C,1180000,112.2,120.2,0,0.179224,114282458,,1,CBOE S&P 100 INDEX,E,1194.489990234375
3220574,112878,2018-02-07,2018-02-07,20171218.0,C,1180000,110.0,118.0,0,0.18157,114282458,,1,CBOE S&P 100 INDEX,E,1187.56005859375
3222604,112878,2018-02-08,2018-02-08,20171218.0,C,1180000,92.2,97.2,0,0.187739,114282458,,1,CBOE S&P 100 INDEX,E,1142.280029296875
3224634,112878,2018-02-09,2018-02-09,20171218.0,C,1180000,94.0,104.0,0,0.182077,114282458,,1,CBOE S&P 100 INDEX,E,1159.199951171875
3226534,112878,2018-02-12,2018-02-12,20171218.0,C,1180000,101.7,109.7,0,0.179527,114282458,,1,CBOE S&P 100 INDEX,E,1175.780029296875
3228434,112878,2018-02-13,2018-02-13,20171218.0,C,1180000,103.3,111.3,0,0.17957,114282458,,1,CBOE S&P 100 INDEX,E,1178.9300537109375
3230334,112878,2018-02-14,2018-02-14,20171218.0,C,1180000,109.9,117.9,0,0.177183,114282458,,1,CBOE S&P 100 INDEX,E,1193.239990234375
3232234,112878,2018-02-15,2018-02-15,20171218.0,C,1180000,119.3,127.3,0,0.178904,114282458,,1,CBOE S&P 100 INDEX,E,1208.43994140625
3234134,112878,2018-02-16,2018-02-16,20171218.0,C,1180000,122.8,128.8,0,0.182916,114282458,,1,CBOE S&P 100 INDEX,E,1208.8800048828125
3235920,112878,2018-02-20,2018-02-20,20171218.0,C,1180000,117.2,122.5,0,0.180652,114282458,,1,CBOE S&P 100 INDEX,E,1200.7099609375
3237706,112878,2018-02-21,2018-02-21,20171218.0,C,1180000,114.8,122.8,0,0.184092,114282458,,1,CBOE S&P 100 INDEX,E,1194.3800048828125
3239638,112878,2018-02-22,2018-02-22,20171218.0,C,1180000,113.0,121.0,0,0.180043,114282458,,1,CBOE S&P 100 INDEX,E,1196.3699951171875
3241570,112878,2018-02-23,2018-02-23,20171218.0,C,1180000,122.4,128.0,0,0.17671,114282458,,1,CBOE S&P 100 INDEX,E,1215.3499755859375
3243454,112878,2018-02-26,2018-02-26,20171218.0,C,1180000,132.7,139.4,0,0.178402,114282458,,1,CBOE S&P 100 INDEX,E,1232.489990234375
