,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3346082,112878,2018-05-11,2018-05-11,20180511.0,C,1260000,19.0,22.0,36,0.11735,110253982,,1,CBOE S&P 100 INDEX,E,1200.1300048828125
3347946,112878,2018-05-14,2018-05-14,20180511.0,C,1260000,18.3,21.4,0,0.114406,110253982,,1,CBOE S&P 100 INDEX,E,1202.06005859375
3349810,112878,2018-05-15,2018-05-15,20180511.0,C,1260000,15.7,18.6,0,0.114457,110253982,,1,CBOE S&P 100 INDEX,E,1192.81005859375
3351946,112878,2018-05-16,2018-05-16,20180511.0,C,1260000,16.6,19.4,0,0.113331,110253982,,1,CBOE S&P 100 INDEX,E,1197.260009765625
3354082,112878,2018-05-17,2018-05-17,20180511.0,C,1260000,15.6,18.6,0,0.113128,110253982,,1,CBOE S&P 100 INDEX,E,1194.5799560546875
3356218,112878,2018-05-18,2018-05-18,20180511.0,C,1260000,15.2,17.7,0,0.114908,110253982,,1,CBOE S&P 100 INDEX,E,1190.6500244140625
3358130,112878,2018-05-21,2018-05-21,20180511.0,C,1260000,16.8,19.8,0,0.11263,110253982,,1,CBOE S&P 100 INDEX,E,1200.530029296875
3360042,112878,2018-05-22,2018-05-22,20180511.0,C,1260000,16.1,18.7,0,0.113192,110253982,,1,CBOE S&P 100 INDEX,E,1197.1400146484375
3361954,112878,2018-05-23,2018-05-23,20180511.0,C,1260000,16.6,18.8,0,0.11057,110253982,,1,CBOE S&P 100 INDEX,E,1201.4599609375
3363990,112878,2018-05-24,2018-05-24,20180511.0,C,1260000,15.3,17.9,0,0.110858,110253982,,1,CBOE S&P 100 INDEX,E,1197.6800537109375
3366026,112878,2018-05-25,2018-05-25,20180511.0,C,1260000,13.9,16.9,0,0.109995,110253982,,1,CBOE S&P 100 INDEX,E,1194.530029296875
3367944,112878,2018-05-29,2018-05-29,20180511.0,C,1260000,11.5,14.6,0,0.115365,110253982,,1,CBOE S&P 100 INDEX,E,1180.3399658203125
3369862,112878,2018-05-30,2018-05-30,20180511.0,C,1260000,15.6,18.4,0,0.116532,110253982,,1,CBOE S&P 100 INDEX,E,1194.9000244140625
3371900,112878,2018-05-31,2018-05-31,20180511.0,C,1260000,14.3,17.0,0,0.117505,110253982,,1,CBOE S&P 100 INDEX,E,1188.9100341796875
3373938,112878,2018-06-01,2018-06-01,20180511.0,C,1260000,16.8,19.8,0,0.114455,110253982,,1,CBOE S&P 100 INDEX,E,1202.010009765625
3375856,112878,2018-06-04,2018-06-04,20180511.0,C,1260000,18.7,21.7,0,0.115729,110253982,,1,CBOE S&P 100 INDEX,E,1207.6500244140625
3377774,112878,2018-06-05,2018-06-05,20180511.0,C,1260000,19.0,21.4,0,0.115769,110253982,,1,CBOE S&P 100 INDEX,E,1207.9200439453125
3379692,112878,2018-06-06,2018-06-06,20180511.0,C,1260000,22.1,24.5,0,0.114036,110253982,,1,CBOE S&P 100 INDEX,E,1219.1800537109375
3381736,112878,2018-06-07,2018-06-07,20180511.0,C,1260000,22.5,25.8,0,0.117402,110253982,,1,CBOE S&P 100 INDEX,E,1218.719970703125
3383780,112878,2018-06-08,2018-06-08,20180511.0,C,1260000,23.8,26.3,0,0.117118,110253982,,1,CBOE S&P 100 INDEX,E,1221.7900390625
3385824,112878,2018-06-11,2018-06-11,20180511.0,C,1260000,24.6,28.0,0,0.120855,110253982,,1,CBOE S&P 100 INDEX,E,1222.4300537109375
3387868,112878,2018-06-12,2018-06-12,20180511.0,C,1260000,24.7,28.1,0,0.120011,110253982,,1,CBOE S&P 100 INDEX,E,1223.6700439453125
3389912,112878,2018-06-13,2018-06-13,20180511.0,C,1260000,24.1,26.6,0,0.12264,110253982,,1,CBOE S&P 100 INDEX,E,1218.9200439453125
3391956,112878,2018-06-14,2018-06-14,20180511.0,C,1260000,23.7,26.6,0,0.119236,110253982,,1,CBOE S&P 100 INDEX,E,1221.780029296875
3394000,112878,2018-06-15,2018-06-15,20180511.0,C,1260000,22.7,26.0,0,0.118905,110253982,,1,CBOE S&P 100 INDEX,E,1220.260009765625
3395940,112878,2018-06-18,2018-06-18,20180511.0,C,1260000,21.7,24.4,0,0.11905,110253982,,1,CBOE S&P 100 INDEX,E,1217.3399658203125
3397880,112878,2018-06-19,2018-06-19,20180511.0,C,1260000,20.2,23.2,0,0.119484,110253982,,1,CBOE S&P 100 INDEX,E,1213.239990234375
3399820,112878,2018-06-20,2018-06-20,20180511.0,C,1260000,20.9,23.3,0,0.118861,110253982,,1,CBOE S&P 100 INDEX,E,1215.2900390625
3401962,112878,2018-06-21,2018-06-21,20180511.0,C,1260000,18.1,20.9,0,0.119345,110253982,,1,CBOE S&P 100 INDEX,E,1207.0799560546875
3404104,112878,2018-06-22,2018-06-22,20180511.0,C,1260000,19.5,21.5,0,0.120185,110253982,,1,CBOE S&P 100 INDEX,E,1209.699951171875
3406090,112878,2018-06-25,2018-06-25,20180511.0,C,1260000,14.2,16.9,0,0.121987,110253982,,1,CBOE S&P 100 INDEX,E,1191.800048828125
3408076,112878,2018-06-26,2018-06-26,20180511.0,C,1260000,14.8,16.9,0,0.120139,110253982,,1,CBOE S&P 100 INDEX,E,1195.1400146484375
3410062,112878,2018-06-27,2018-06-27,20180511.0,C,1260000,13.1,16.2,0,0.125524,110253982,,1,CBOE S&P 100 INDEX,E,1185.25
3412166,112878,2018-06-28,2018-06-28,20180511.0,C,1260000,14.2,16.8,0,0.120373,110253982,,1,CBOE S&P 100 INDEX,E,1194.199951171875
3414270,112878,2018-06-29,2018-06-29,20180511.0,C,1260000,14.1,17.5,0,0.121469,110253982,,1,CBOE S&P 100 INDEX,E,1194.5
3416172,112878,2018-07-02,2018-07-02,20180511.0,C,1260000,14.7,17.3,0,0.118138,110253982,,1,CBOE S&P 100 INDEX,E,1199.4599609375
3418148,112878,2018-07-03,2018-07-03,20180511.0,C,1260000,13.0,15.3,0,0.119246,110253982,,1,CBOE S&P 100 INDEX,E,1191.760009765625
3420294,112878,2018-07-05,2018-07-05,20180511.0,C,1260000,15.1,17.7,0,0.117481,110253982,,1,CBOE S&P 100 INDEX,E,1202.530029296875
3422440,112878,2018-07-06,2018-07-06,20180511.0,C,1260000,17.9,20.5,0,0.116131,110253982,,1,CBOE S&P 100 INDEX,E,1213.3399658203125
3424436,112878,2018-07-09,2018-07-09,20180511.0,C,1260000,21.3,23.9,0,0.115266,110253982,,1,CBOE S&P 100 INDEX,E,1224.8800048828125
3426432,112878,2018-07-10,2018-07-10,20180511.0,C,1260000,23.7,26.5,0,0.117359,110253982,,1,CBOE S&P 100 INDEX,E,1229.8900146484375
3428428,112878,2018-07-11,2018-07-11,20180511.0,C,1260000,20.9,23.4,0,0.118085,110253982,,1,CBOE S&P 100 INDEX,E,1221.77001953125
3430504,112878,2018-07-12,2018-07-12,20180511.0,C,1260000,25.5,28.3,0,0.117908,110253982,,1,CBOE S&P 100 INDEX,E,1234.699951171875
3432580,112878,2018-07-13,2018-07-13,20180511.0,C,1260000,26.1,28.5,0,0.117934,110253982,,1,CBOE S&P 100 INDEX,E,1235.9100341796875
3434504,112878,2018-07-16,2018-07-16,20180511.0,C,1260000,25.6,28.3,0,0.116602,110253982,,1,CBOE S&P 100 INDEX,E,1236.6099853515625
3436428,112878,2018-07-17,2018-07-17,20180511.0,C,1260000,27.8,30.6,0,0.118103,110253982,,1,CBOE S&P 100 INDEX,E,1240.9000244140625
3438352,112878,2018-07-18,2018-07-18,20180511.0,C,1260000,28.1,31.4,0,0.117758,110253982,,1,CBOE S&P 100 INDEX,E,1242.5999755859375
3440276,112878,2018-07-19,2018-07-19,20180511.0,C,1260000,25.0,27.9,0,0.116485,110253982,,1,CBOE S&P 100 INDEX,E,1235.97998046875
3442200,112878,2018-07-20,2018-07-20,20180511.0,C,1260000,25.1,28.0,0,0.116718,110253982,,1,CBOE S&P 100 INDEX,E,1236.3299560546875
3444188,112878,2018-07-23,2018-07-23,20180511.0,C,1260000,26.4,29.0,0,0.117316,110253982,,1,CBOE S&P 100 INDEX,E,1239.4599609375
3446176,112878,2018-07-24,2018-07-24,20180511.0,C,1260000,31.2,34.3,0,0.119091,110253982,,1,CBOE S&P 100 INDEX,E,1249.93994140625
3448164,112878,2018-07-25,2018-07-25,20180511.0,C,1260000,36.0,40.2,0,0.119835,110253982,,1,CBOE S&P 100 INDEX,E,1260.5
3450278,112878,2018-07-26,2018-07-26,20180511.0,C,1260000,32.1,34.9,0,0.11935,110253982,,1,CBOE S&P 100 INDEX,E,1251.5
3452392,112878,2018-07-27,2018-07-27,20180511.0,C,1260000,28.2,31.0,0,0.118424,110253982,,1,CBOE S&P 100 INDEX,E,1243.8299560546875
3454382,112878,2018-07-30,2018-07-30,20180511.0,C,1260000,24.8,27.8,0,0.11737,110253982,,1,CBOE S&P 100 INDEX,E,1237.6300048828125
3456372,112878,2018-07-31,2018-07-31,20180511.0,C,1260000,25.8,30.1,0,0.117349,110253982,,1,CBOE S&P 100 INDEX,E,1241.760009765625
3458362,112878,2018-08-01,2018-08-01,20180511.0,C,1260000,27.7,30.1,0,0.11745,110253982,,1,CBOE S&P 100 INDEX,E,1244.0899658203125
