,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3447976,112878,2018-07-25,2018-07-25,20180725.0,C,1250000,35.7,39.6,18,0.117027,121415369,,1,CBOE S&P 100 INDEX,E,1260.5
3450090,112878,2018-07-26,2018-07-26,20180725.0,C,1250000,31.5,33.8,0,0.116567,121415369,,1,CBOE S&P 100 INDEX,E,1251.5
3452204,112878,2018-07-27,2018-07-27,20180725.0,C,1250000,27.1,29.5,0,0.115002,121415369,,1,CBOE S&P 100 INDEX,E,1243.8299560546875
3454194,112878,2018-07-30,2018-07-30,20180725.0,C,1250000,23.6,26.1,0,0.114194,121415369,,1,CBOE S&P 100 INDEX,E,1237.6300048828125
3456184,112878,2018-07-31,2018-07-31,20180725.0,C,1250000,24.4,28.3,0,0.113191,121415369,,1,CBOE S&P 100 INDEX,E,1241.760009765625
3458174,112878,2018-08-01,2018-08-01,20180725.0,C,1250000,26.5,28.5,0,0.113831,121415369,,1,CBOE S&P 100 INDEX,E,1244.0899658203125
3460288,112878,2018-08-02,2018-08-02,20180725.0,C,1250000,29.8,31.7,0,0.114392,121415369,,1,CBOE S&P 100 INDEX,E,1250.6600341796875
3462402,112878,2018-08-03,2018-08-03,20180725.0,C,1250000,32.2,34.7,0,0.111996,121415369,,1,CBOE S&P 100 INDEX,E,1257.18994140625
3464398,112878,2018-08-06,2018-08-06,20180725.0,C,1250000,35.1,37.6,0,0.113183,121415369,,1,CBOE S&P 100 INDEX,E,1262.5699462890625
3466394,112878,2018-08-07,2018-08-07,20180725.0,C,1250000,37.6,40.3,0,0.115072,121415369,,1,CBOE S&P 100 INDEX,E,1266.4100341796875
3468390,112878,2018-08-08,2018-08-08,20180725.0,C,1250000,38.5,40.8,0,0.118252,121415369,,1,CBOE S&P 100 INDEX,E,1266.699951171875
3470474,112878,2018-08-09,2018-08-09,20180725.0,C,1250000,36.5,39.1,0,0.115402,121415369,,1,CBOE S&P 100 INDEX,E,1265.06005859375
3472558,112878,2018-08-10,2018-08-10,20180725.0,C,1250000,32.0,34.7,0,0.119653,121415369,,1,CBOE S&P 100 INDEX,E,1255.469970703125
