,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3473223,112878,2018-08-10,2018-08-10,20180810.0,C,1600000,1.15,1.8,20,0.103446,118878489,,1,CBOE S&P 100 INDEX,E,1255.469970703125
3475187,112878,2018-08-13,2018-08-13,20180810.0,C,1600000,1.25,1.95,0,0.106507,118878489,,1,CBOE S&P 100 INDEX,E,1250.5699462890625
3477151,112878,2018-08-14,2018-08-14,20180810.0,C,1600000,1.6,2.3,0,0.107839,118878489,,1,CBOE S&P 100 INDEX,E,1257.5999755859375
3479115,112878,2018-08-15,2018-08-15,20180810.0,C,1600000,1.25,1.95,0,0.107393,118878489,,1,CBOE S&P 100 INDEX,E,1248.2099609375
3481079,112878,2018-08-16,2018-08-16,20180810.0,C,1600000,1.55,2.25,0,0.107218,118878489,,1,CBOE S&P 100 INDEX,E,1258.75
3483043,112878,2018-08-17,2018-08-17,20180810.0,C,1600000,1.6,2.3,0,0.106714,118878489,,1,CBOE S&P 100 INDEX,E,1262.3199462890625
3485091,112878,2018-08-20,2018-08-20,20180810.0,C,1600000,1.7,2.35,0,0.107238,118878489,,1,CBOE S&P 100 INDEX,E,1264.239990234375
3487139,112878,2018-08-21,2018-08-21,20180810.0,C,1600000,1.55,2.3,0,0.105589,118878489,,1,CBOE S&P 100 INDEX,E,1266.5400390625
3489187,112878,2018-08-22,2018-08-22,20180810.0,C,1600000,1.65,2.35,0,0.106255,118878489,,1,CBOE S&P 100 INDEX,E,1267.0899658203125
3491361,112878,2018-08-23,2018-08-23,20180810.0,C,1600000,1.8,2.55,0,0.108591,118878489,,1,CBOE S&P 100 INDEX,E,1265.0799560546875
3493535,112878,2018-08-24,2018-08-24,20180810.0,C,1600000,1.9,2.7,0,0.10736,118878489,,1,CBOE S&P 100 INDEX,E,1272.4300537109375
3495581,112878,2018-08-27,2018-08-27,20180810.0,C,1600000,2.05,2.95,0,0.105678,118878489,,1,CBOE S&P 100 INDEX,E,1283.449951171875
3497627,112878,2018-08-28,2018-08-28,20180810.0,C,1600000,2.15,3.1,0,0.106749,118878489,,1,CBOE S&P 100 INDEX,E,1283.239990234375
3499673,112878,2018-08-29,2018-08-29,20180810.0,C,1600000,2.4,3.6,0,0.106789,118878489,,1,CBOE S&P 100 INDEX,E,1291.510009765625
3501847,112878,2018-08-30,2018-08-30,20180810.0,C,1600000,2.2,3.5,0,0.107259,118878489,,1,CBOE S&P 100 INDEX,E,1287.3599853515625
3504021,112878,2018-08-31,2018-08-31,20180810.0,C,1600000,2.2,3.4,0,0.107211,118878489,,1,CBOE S&P 100 INDEX,E,1286.9000244140625
3506069,112878,2018-09-04,2018-09-04,20180810.0,C,1600000,2.2,3.4,0,0.108479,118878489,,1,CBOE S&P 100 INDEX,E,1284.030029296875
3508117,112878,2018-09-05,2018-09-05,20180810.0,C,1600000,2.1,3.3,0,0.10934,118878489,,1,CBOE S&P 100 INDEX,E,1279.4300537109375
3510293,112878,2018-09-06,2018-09-06,20180810.0,C,1600000,2.0,3.2,0,0.110475,118878489,,1,CBOE S&P 100 INDEX,E,1273.97998046875
3512469,112878,2018-09-07,2018-09-07,20180810.0,C,1600000,1.4,2.9,0,0.107479,118878489,,1,CBOE S&P 100 INDEX,E,1271.27001953125
3514521,112878,2018-09-10,2018-09-10,20180810.0,C,1600000,1.7,2.85,0,0.10852,118878489,,1,CBOE S&P 100 INDEX,E,1272.2900390625
3516573,112878,2018-09-11,2018-09-11,20180810.0,C,1600000,1.85,3.1,0,0.10794,118878489,,1,CBOE S&P 100 INDEX,E,1279.0699462890625
3518625,112878,2018-09-12,2018-09-12,20180810.0,C,1600000,1.55,2.7,0,0.105114,118878489,,1,CBOE S&P 100 INDEX,E,1279.4300537109375
3520807,112878,2018-09-13,2018-09-13,20180810.0,C,1600000,1.7,2.85,0,0.104211,118878489,,1,CBOE S&P 100 INDEX,E,1286.56005859375
3522989,112878,2018-09-14,2018-09-14,20180810.0,C,1600000,1.65,2.8,0,0.104083,118878489,,1,CBOE S&P 100 INDEX,E,1285.5999755859375
3525047,112878,2018-09-17,2018-09-17,20180810.0,C,1600000,1.4,2.55,0,0.104806,118878489,,1,CBOE S&P 100 INDEX,E,1277.5699462890625
3527105,112878,2018-09-18,2018-09-18,20180810.0,C,1600000,1.65,2.8,0,0.104752,118878489,,1,CBOE S&P 100 INDEX,E,1284.9100341796875
3529457,112878,2018-09-19,2018-09-19,20180810.0,C,1600000,1.65,2.8,0,0.103716,118878489,,1,CBOE S&P 100 INDEX,E,1288.1500244140625
3531809,112878,2018-09-20,2018-09-20,20180810.0,C,1600000,2.15,3.3,0,0.103924,118878489,,1,CBOE S&P 100 INDEX,E,1299.4000244140625
3534161,112878,2018-09-21,2018-09-21,20180810.0,C,1600000,2.05,3.2,0,0.103751,118878489,,1,CBOE S&P 100 INDEX,E,1298.1400146484375
3536559,112878,2018-09-24,2018-09-24,20180810.0,C,1600000,2.05,3.2,0,0.105281,118878489,,1,CBOE S&P 100 INDEX,E,1294.7099609375
3538957,112878,2018-09-25,2018-09-25,20180810.0,C,1600000,2.2,3.4,0,0.106874,118878489,,1,CBOE S&P 100 INDEX,E,1293.9100341796875
3541355,112878,2018-09-26,2018-09-26,20180810.0,C,1600000,2.2,3.4,0,0.108279,118878489,,1,CBOE S&P 100 INDEX,E,1290.0799560546875
3543871,112878,2018-09-27,2018-09-27,20180810.0,C,1600000,2.2,3.4,0,0.106608,118878489,,1,CBOE S&P 100 INDEX,E,1295.3199462890625
3546387,112878,2018-09-28,2018-09-28,20180810.0,C,1600000,2.15,3.3,0,0.106552,118878489,,1,CBOE S&P 100 INDEX,E,1294.27001953125
3548795,112878,2018-10-01,2018-10-01,20180810.0,C,1600000,2.4,3.6,0,0.106628,118878489,,1,CBOE S&P 100 INDEX,E,1300.8399658203125
3551203,112878,2018-10-02,2018-10-02,20180810.0,C,1600000,2.3,3.5,0,0.105816,118878489,,1,CBOE S&P 100 INDEX,E,1301.56005859375
3553611,112878,2018-10-03,2018-10-03,20180810.0,C,1600000,2.35,3.5,0,0.10563,118878489,,1,CBOE S&P 100 INDEX,E,1302.800048828125
3556135,112878,2018-10-04,2018-10-04,20180810.0,C,1600000,1.95,3.4,0,0.107656,118878489,,1,CBOE S&P 100 INDEX,E,1291.530029296875
3558659,112878,2018-10-05,2018-10-05,20180810.0,C,1600000,1.8,3.3,0,0.109544,118878489,,1,CBOE S&P 100 INDEX,E,1283.3399658203125
3561025,112878,2018-10-08,2018-10-08,20180810.0,C,1600000,2.1,3.3,0,0.110927,118878489,,1,CBOE S&P 100 INDEX,E,1283.8699951171875
3563391,112878,2018-10-09,2018-10-09,20180810.0,C,1600000,2.15,3.3,0,0.111311,118878489,,1,CBOE S&P 100 INDEX,E,1283.5999755859375
3565757,112878,2018-10-10,2018-10-10,20180810.0,C,1600000,1.2,2.7,0,0.119338,118878489,,1,CBOE S&P 100 INDEX,E,1239.8299560546875
3568253,112878,2018-10-11,2018-10-11,20180810.0,C,1600000,0.95,2.45,0,0.125253,118878489,,1,CBOE S&P 100 INDEX,E,1214.2900390625
