,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3524357,112878,2018-09-17,2018-09-17,20180917.0,C,1200000,89.0,92.3,1,0.163154,110253979,,1,CBOE S&P 100 INDEX,E,1277.5699462890625
3526415,112878,2018-09-18,2018-09-18,20180917.0,C,1200000,96.5,99.6,0,0.172789,110253979,,1,CBOE S&P 100 INDEX,E,1284.9100341796875
3528749,112878,2018-09-19,2018-09-19,20180917.0,C,1200000,98.7,101.2,0,0.169588,110253979,,1,CBOE S&P 100 INDEX,E,1288.1500244140625
3531101,112878,2018-09-20,2018-09-20,20180920.0,C,1200000,107.3,110.8,1,0.169369,110253979,,1,CBOE S&P 100 INDEX,E,1299.4000244140625
3533453,112878,2018-09-21,2018-09-21,20180920.0,C,1200000,106.0,108.5,0,0.165426,110253979,,1,CBOE S&P 100 INDEX,E,1298.1400146484375
3535659,112878,2018-09-24,2018-09-24,20180920.0,C,1200000,103.7,106.7,0,0.173294,110253979,,1,CBOE S&P 100 INDEX,E,1294.7099609375
3538057,112878,2018-09-25,2018-09-25,20180920.0,C,1200000,102.6,105.1,0,0.16969,110253979,,1,CBOE S&P 100 INDEX,E,1293.9100341796875
3540455,112878,2018-09-26,2018-09-26,20180926.0,C,1200000,99.1,102.5,26,0.171185,110253979,,1,CBOE S&P 100 INDEX,E,1290.0799560546875
3542971,112878,2018-09-27,2018-09-27,20180926.0,C,1200000,104.6,107.1,0,0.176739,110253979,,1,CBOE S&P 100 INDEX,E,1295.3199462890625
3545487,112878,2018-09-28,2018-09-28,20180926.0,C,1200000,102.3,105.0,0,0.169183,110253979,,1,CBOE S&P 100 INDEX,E,1294.27001953125
3547817,112878,2018-10-01,2018-10-01,20180926.0,C,1200000,107.7,110.5,0,0.171692,110253979,,1,CBOE S&P 100 INDEX,E,1300.8399658203125
3550225,112878,2018-10-02,2018-10-02,20180926.0,C,1200000,108.9,111.6,0,0.176384,110253979,,1,CBOE S&P 100 INDEX,E,1301.56005859375
3552633,112878,2018-10-03,2018-10-03,20180926.0,C,1200000,110.0,112.4,0,0.176918,110253979,,1,CBOE S&P 100 INDEX,E,1302.800048828125
3555157,112878,2018-10-04,2018-10-04,20180926.0,C,1200000,100.9,103.9,0,0.18206,110253979,,1,CBOE S&P 100 INDEX,E,1291.530029296875
3557681,112878,2018-10-05,2018-10-05,20180926.0,C,1200000,93.5,97.8,0,0.182369,110253979,,1,CBOE S&P 100 INDEX,E,1283.3399658203125
3560047,112878,2018-10-08,2018-10-08,20180926.0,C,1200000,95.0,98.7,0,0.190736,110253979,,1,CBOE S&P 100 INDEX,E,1283.8699951171875
3562413,112878,2018-10-09,2018-10-09,20180926.0,C,1200000,95.6,97.9,0,0.192655,110253979,,1,CBOE S&P 100 INDEX,E,1283.5999755859375
3564779,112878,2018-10-10,2018-10-10,20180926.0,C,1200000,64.7,68.1,0,0.202552,110253979,,1,CBOE S&P 100 INDEX,E,1239.8299560546875
3567275,112878,2018-10-11,2018-10-11,20180926.0,C,1200000,47.0,52.0,0,0.198024,110253979,,1,CBOE S&P 100 INDEX,E,1214.2900390625
3569771,112878,2018-10-12,2018-10-12,20180926.0,C,1200000,57.5,61.3,0,0.190522,110253979,,1,CBOE S&P 100 INDEX,E,1233.6600341796875
3572113,112878,2018-10-15,2018-10-15,20180926.0,C,1200000,51.4,54.9,0,0.19236,110253979,,1,CBOE S&P 100 INDEX,E,1224.489990234375
3574455,112878,2018-10-16,2018-10-16,20180926.0,C,1200000,66.4,69.4,0,0.180929,110253979,,1,CBOE S&P 100 INDEX,E,1250.4599609375
3576797,112878,2018-10-17,2018-10-17,20180926.0,C,1200000,66.9,69.9,0,0.180249,110253979,,1,CBOE S&P 100 INDEX,E,1251.6600341796875
3579139,112878,2018-10-18,2018-10-18,20180926.0,C,1200000,54.1,56.6,0,0.180775,110253979,,1,CBOE S&P 100 INDEX,E,1232.8299560546875
3581481,112878,2018-10-19,2018-10-19,20180926.0,C,1200000,56.7,59.8,0,0.186266,110253979,,1,CBOE S&P 100 INDEX,E,1236.0899658203125
3583593,112878,2018-10-22,2018-10-22,20180926.0,C,1200000,53.3,56.0,0,0.189329,110253979,,1,CBOE S&P 100 INDEX,E,1231.02001953125
