,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3543196,112878,2018-09-27,2018-09-27,20180927.0,C,1195000,113.6,116.8,19,0.181248,124068728,,1,CBOE S&P 100 INDEX,E,1295.3199462890625
3545712,112878,2018-09-28,2018-09-28,20180927.0,C,1195000,111.3,114.3,0,0.174038,124068728,,1,CBOE S&P 100 INDEX,E,1294.27001953125
3548042,112878,2018-10-01,2018-10-01,20180927.0,C,1195000,116.4,119.7,0,0.175772,124068728,,1,CBOE S&P 100 INDEX,E,1300.8399658203125
3550450,112878,2018-10-02,2018-10-02,20180927.0,C,1195000,117.9,120.9,0,0.180588,124068728,,1,CBOE S&P 100 INDEX,E,1301.56005859375
3552858,112878,2018-10-03,2018-10-03,20180927.0,C,1195000,119.0,121.9,0,0.181755,124068728,,1,CBOE S&P 100 INDEX,E,1302.800048828125
3555382,112878,2018-10-04,2018-10-04,20180927.0,C,1195000,110.0,113.7,0,0.185216,124068728,,1,CBOE S&P 100 INDEX,E,1291.530029296875
3557906,112878,2018-10-05,2018-10-05,20180927.0,C,1195000,102.8,107.7,0,0.185196,124068728,,1,CBOE S&P 100 INDEX,E,1283.3399658203125
3560272,112878,2018-10-08,2018-10-08,20180927.0,C,1195000,104.3,108.6,0,0.191746,124068728,,1,CBOE S&P 100 INDEX,E,1283.8699951171875
3562638,112878,2018-10-09,2018-10-09,20180927.0,C,1195000,104.6,107.8,0,0.192397,124068728,,1,CBOE S&P 100 INDEX,E,1283.5999755859375
3565004,112878,2018-10-10,2018-10-10,20180927.0,C,1195000,74.5,78.6,0,0.201271,124068728,,1,CBOE S&P 100 INDEX,E,1239.8299560546875
3567500,112878,2018-10-11,2018-10-11,20180927.0,C,1195000,57.2,62.2,0,0.19784,124068728,,1,CBOE S&P 100 INDEX,E,1214.2900390625
3569996,112878,2018-10-12,2018-10-12,20180927.0,C,1195000,66.8,71.8,0,0.189644,124068728,,1,CBOE S&P 100 INDEX,E,1233.6600341796875
3572338,112878,2018-10-15,2018-10-15,20180927.0,C,1195000,62.2,65.6,0,0.194327,124068728,,1,CBOE S&P 100 INDEX,E,1224.489990234375
3574680,112878,2018-10-16,2018-10-16,20180927.0,C,1195000,76.6,80.4,0,0.184646,124068728,,1,CBOE S&P 100 INDEX,E,1250.4599609375
3577022,112878,2018-10-17,2018-10-17,20180927.0,C,1195000,77.2,80.8,0,0.183993,124068728,,1,CBOE S&P 100 INDEX,E,1251.6600341796875
3579364,112878,2018-10-18,2018-10-18,20180927.0,C,1195000,64.6,67.8,0,0.184351,124068728,,1,CBOE S&P 100 INDEX,E,1232.8299560546875
3581706,112878,2018-10-19,2018-10-19,20180927.0,C,1195000,67.5,71.0,0,0.189464,124068728,,1,CBOE S&P 100 INDEX,E,1236.0899658203125
