,secid,date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,impl_volatility,optionid,forward_price,index_flag,issuer,exercise_style,S
3329147,112878,2018-04-30,2018-04-30,20180430.0,C,1240000,56.6,60.9,20,0.155818,114282461,,1,CBOE S&P 100 INDEX,E,1160.72998046875
3331023,112878,2018-05-01,2018-05-01,20180430.0,C,1240000,55.6,60.6,0,0.152077,114282461,,1,CBOE S&P 100 INDEX,E,1164.4000244140625
3332899,112878,2018-05-02,2018-05-02,20180430.0,C,1240000,51.6,56.6,0,0.150228,114282461,,1,CBOE S&P 100 INDEX,E,1156.6400146484375
3334893,112878,2018-05-03,2018-05-03,20180430.0,C,1240000,50.5,55.5,0,0.150195,114282461,,1,CBOE S&P 100 INDEX,E,1153.9300537109375
3336887,112878,2018-05-04,2018-05-04,20180430.0,C,1240000,56.9,61.7,0,0.150445,114282461,,1,CBOE S&P 100 INDEX,E,1169.6400146484375
3338759,112878,2018-05-07,2018-05-07,20180430.0,C,1240000,59.0,63.8,0,0.151097,114282461,,1,CBOE S&P 100 INDEX,E,1174.260009765625
3340631,112878,2018-05-08,2018-05-08,20180430.0,C,1240000,58.0,63.0,0,0.150188,114282461,,1,CBOE S&P 100 INDEX,E,1173.77001953125
3342503,112878,2018-05-09,2018-05-09,20180430.0,C,1240000,63.8,68.8,0,0.15185,114282461,,1,CBOE S&P 100 INDEX,E,1185.68994140625
3344485,112878,2018-05-10,2018-05-10,20180430.0,C,1240000,69.9,74.9,0,0.153833,114282461,,1,CBOE S&P 100 INDEX,E,1197.1600341796875
3346467,112878,2018-05-11,2018-05-11,20180430.0,C,1240000,70.4,75.4,0,0.15287,114282461,,1,CBOE S&P 100 INDEX,E,1200.1300048828125
3348331,112878,2018-05-14,2018-05-14,20180430.0,C,1240000,69.6,74.6,0,0.150518,114282461,,1,CBOE S&P 100 INDEX,E,1202.06005859375
3350195,112878,2018-05-15,2018-05-15,20180430.0,C,1240000,65.8,70.8,0,0.15074,114282461,,1,CBOE S&P 100 INDEX,E,1192.81005859375
3352331,112878,2018-05-16,2018-05-16,20180430.0,C,1240000,67.9,72.9,0,0.150898,114282461,,1,CBOE S&P 100 INDEX,E,1197.260009765625
3354467,112878,2018-05-17,2018-05-17,20180430.0,C,1240000,67.5,72.5,0,0.152493,114282461,,1,CBOE S&P 100 INDEX,E,1194.5799560546875
3356603,112878,2018-05-18,2018-05-18,20180430.0,C,1240000,65.5,70.5,0,0.152656,114282461,,1,CBOE S&P 100 INDEX,E,1190.6500244140625
3358515,112878,2018-05-21,2018-05-21,20180430.0,C,1240000,69.7,74.7,0,0.152549,114282461,,1,CBOE S&P 100 INDEX,E,1200.530029296875
3360427,112878,2018-05-22,2018-05-22,20180430.0,C,1240000,69.0,73.5,0,0.153855,114282461,,1,CBOE S&P 100 INDEX,E,1197.1400146484375
3362339,112878,2018-05-23,2018-05-23,20180430.0,C,1240000,69.5,74.1,0,0.152172,114282461,,1,CBOE S&P 100 INDEX,E,1201.4599609375
3364375,112878,2018-05-24,2018-05-24,20180430.0,C,1240000,67.3,72.3,0,0.152111,114282461,,1,CBOE S&P 100 INDEX,E,1197.6800537109375
3366411,112878,2018-05-25,2018-05-25,20180430.0,C,1240000,66.2,71.2,0,0.153151,114282461,,1,CBOE S&P 100 INDEX,E,1194.530029296875
3368329,112878,2018-05-29,2018-05-29,20180430.0,C,1240000,59.7,64.7,0,0.154548,114282461,,1,CBOE S&P 100 INDEX,E,1180.3399658203125
3370247,112878,2018-05-30,2018-05-30,20180430.0,C,1240000,66.6,71.6,0,0.155011,114282461,,1,CBOE S&P 100 INDEX,E,1194.9000244140625
3372285,112878,2018-05-31,2018-05-31,20180430.0,C,1240000,64.5,69.5,0,0.15578,114282461,,1,CBOE S&P 100 INDEX,E,1188.9100341796875
3374323,112878,2018-06-01,2018-06-01,20180430.0,C,1240000,69.6,74.6,0,0.154234,114282461,,1,CBOE S&P 100 INDEX,E,1202.010009765625
3376241,112878,2018-06-04,2018-06-04,20180430.0,C,1240000,73.2,78.2,0,0.155815,114282461,,1,CBOE S&P 100 INDEX,E,1207.6500244140625
3378159,112878,2018-06-05,2018-06-05,20180430.0,C,1240000,73.1,78.1,0,0.155742,114282461,,1,CBOE S&P 100 INDEX,E,1207.9200439453125
3380077,112878,2018-06-06,2018-06-06,20180430.0,C,1240000,78.4,83.4,0,0.155606,114282461,,1,CBOE S&P 100 INDEX,E,1219.1800537109375
3382121,112878,2018-06-07,2018-06-07,20180430.0,C,1240000,79.0,84.0,0,0.157329,114282461,,1,CBOE S&P 100 INDEX,E,1218.719970703125
3384165,112878,2018-06-08,2018-06-08,20180430.0,C,1240000,80.7,85.7,0,0.15792,114282461,,1,CBOE S&P 100 INDEX,E,1221.7900390625
3386209,112878,2018-06-11,2018-06-11,20180430.0,C,1240000,82.1,87.1,0,0.159774,114282461,,1,CBOE S&P 100 INDEX,E,1222.4300537109375
3388253,112878,2018-06-12,2018-06-12,20180430.0,C,1240000,82.0,87.0,0,0.158599,114282461,,1,CBOE S&P 100 INDEX,E,1223.6700439453125
3390297,112878,2018-06-13,2018-06-13,20180430.0,C,1240000,81.2,86.2,0,0.161295,114282461,,1,CBOE S&P 100 INDEX,E,1218.9200439453125
