,price,bs_call_price,learned_price,ml_mkt_price,ml_learned_price,dl_mkt_price,dl_learned_price
116458356,64.1,60.794967301670454,72.80613,14.90478801727295,157.92453002929688,17.00568199157715,164.60699462890625
116458357,48.3,44.67150671482443,53.829327,10.9885835647583,78.22041320800781,27.069652557373047,115.17964172363281
124479705,2.55,0.9528102662714986,2.4966466,3.7554335594177246,3.9650661945343018,3.1872739791870117,3.3806233406066895
116458355,80.75,77.92274219624085,79.66375,11.154352188110352,5.078546047210693,10.266071319580078,4.485164642333984
121415366,48.45,43.960614909718174,51.66183,482.8115234375,351.98046875,21.07769775390625,1.902234673500061
118710761,3.9,2.6844600864114057,4.0243316,159.7311553955078,156.60386657714844,256.1521301269531,252.18775939941406
120514970,1.95,0.9646343306945369,1.9466168,11.358834266662598,11.336037635803223,62.7269287109375,62.67335891723633
124068765,0.95,0.24752654427099152,0.8406618,1.4959875345230103,1.775406837463379,0.24166585505008698,0.36112090945243835
119327507,17.25,13.700868506574523,16.406818,26.45317268371582,18.49071502685547,1.1605281829833984,3.6881656646728516
119327510,1.525,0.6985203923660919,1.5446472,19.16941261291504,19.341840744018555,79.77346801757812,80.12482452392578
124068728,115.19999999999999,109.47720562888696,106.07199,33.52287292480469,222.5437469482422,0.6448847651481628,98.62581634521484
124298667,15.3,11.693482265448893,15.557022,187.76614379882812,180.7883758544922,87.22753143310547,82.49264526367188
110253979,90.65,86.32157091582155,77.6705,410.11163330078125,1104.2802734375,949.3504638671875,1917.6544189453125
120514880,43.5,40.8700314388484,40.73036,9.252510070800781,0.07406460493803024,2.151291608810425,17.946863174438477
120514882,26.0,23.229790685511716,23.937202,0.011428267695009708,3.8255231380462646,5.322350978851318,19.09532356262207
118667815,1.4,0.5401199838886299,1.4830649,5.993798732757568,5.593976020812988,0.39665767550468445,0.5081872940063477
126693991,7.9,4.372537492378115,8.067452,29.591716766357422,31.44157600402832,207.93276977539062,212.7901153564453
124298668,18.450000000000003,14.975853214707058,17.881945,211.58216857910156,228.4305877685547,99.62548065185547,111.28799438476562
118710695,12.45,10.842933774744552,12.0401745,908.3707885742188,933.242431640625,588.3607788085938,608.4103393554688
120514886,12.7,10.397137158610064,12.835264,0.006891563534736633,0.002729654312133789,6.029356956481934,5.3833723068237305
120514885,13.8,11.30963792958886,14.173488,1.2783253192901611,2.262376546859741,6.271820068359375,4.540626525878906
124068733,93.30000000000001,87.11724008796375,86.20298,511.7166442871094,883.1701049804688,179.44126892089844,419.9463195800781
121415369,37.650000000000006,33.170776712950556,40.571945,414.5148620605469,304.07318115234375,158.37490844726562,93.36903381347656
120514968,2.95,1.6801523533740976,3.116564,3.3022217750549316,3.935325860977173,16.53089714050293,17.913087844848633
124068755,14.65,10.05730286794278,15.401323,16.623699188232422,11.061567306518555,68.42035675048828,56.55545425415039
124068743,56.2,49.87959024289751,56.985603,141.86317443847656,123.76630401611328,539.4127807617188,503.5382995605469
120089665,6.7,4.564238837838474,6.993267,34.07719802856445,37.58713912963867,54.16960144042969,58.57250213623047
116458359,17.75,14.355624149199741,19.185862,20.702180862426758,35.83012008666992,74.19650268554688,100.99443054199219
118878420,60.5,57.568109482397745,55.84183,7.411777019500732,3.746961832046509,4.736746788024902,6.15916109085083
